x,y
0.0,1.7191384377571612
0.01,1.5205039116518002
0.023,1.3654603521814397
0.028,1.4646374420639
0.031,1.5694617391462267
0.038,1.7106004081974544
0.043000000000000003,1.4190381436056971
0.05,1.622226545216198
0.055,1.3266970314649416
0.057,1.3946370639251195
0.059000000000000004,1.3886516486203806
0.06,1.3545910912286885
0.064,1.482901059852453
0.08,1.4671183096711204
0.088,1.5869718154491128
0.091,1.6643692256181248
0.10400000000000001,1.6189962356009937
0.108,1.4347852975438002
0.134,1.731154909305904
0.137,1.5214565108423843
0.148,1.6008944310188638
0.157,1.746576246758372
0.166,1.5597061483414478
0.17200000000000001,1.4767759377501892
0.17500000000000002,1.76487634954486
0.185,1.6651135839899738
0.209,1.6347849970442967
0.228,1.5880492569853362
0.23,1.4644639423192762
0.231,1.876084029667655
0.243,2.213946595571643
0.26,1.4804513617057362
0.27,1.672424714215653
0.298,1.929718060539013
0.325,1.713667497925131
0.34400000000000003,1.6373861513455004
0.34700000000000003,1.6041956109386646
0.393,1.691467737562228
0.401,1.564913500033778
0.422,1.504661103639916
0.428,1.6817511137689818
0.433,1.9169853099033956
0.45,1.511822161202739
0.453,1.5721897341939306
0.467,1.9246279492818699
0.47500000000000003,1.5841270706758446
0.485,1.623706284832583
0.515,1.8592860978184143
0.522,1.9233922992510448
0.528,1.755631693569831
0.529,2.0152420879703987
0.544,1.8835922196442083
0.547,1.9784570154408512
0.55,1.667032252219693
0.552,1.9537432758985127
0.557,1.720868075327118
0.5680000000000001,1.6088854893240763
0.5740000000000001,1.6436288626617566
0.58,1.675593932269258
0.603,1.9534256732430437
0.615,2.0704768865743097
0.622,2.070066758095804
0.623,1.8431503404011507
0.63,1.6479478869638677
0.647,1.6882747717410946
0.675,2.0291365871234923
0.6950000000000001,1.7983674755007168
0.708,1.7893809527622409
0.712,1.8776262719436043
0.719,2.4573792881404777
0.729,2.304867865696201
0.735,1.9541357950680256
0.744,2.093558668347557
0.751,2.100659397008318
0.761,2.061070442531837
0.766,2.0301291827760357
0.774,1.8064785922052062
0.801,2.1860363708567427
0.802,1.9927771182967193
0.8220000000000001,2.254325956767171
0.839,2.077786178028865
0.848,2.1497515602741006
0.852,2.4267184711441954
0.855,2.0208150594111842
0.875,1.7879949574470708
0.93,2.1113247354949705
0.963,1.9548740394929365
0.979,2.0871366138600846
0.979,2.0871366138600846
0.986,2.287623008650059
0.987,2.467499026895951
0.99,2.2791477390252606
1.0070000000000001,2.254385729619989
1.027,2.119854033909874
1.035,2.304898178897875
1.059,2.206961329382114
1.061,2.24266129173885
1.076,2.15790409991479
1.092,2.1930140684230475
1.108,2.2099530346471266
1.118,1.9518356413895395
1.129,2.401042418083657
1.1400000000000001,2.5606162313956573
1.147,2.298323214868412
1.1480000000000001,1.9744695325225596
1.161,2.848953273693387
1.177,2.4256582917588325
1.18,2.490404766102249
1.199,2.5762651085558335
1.2610000000000001,2.3791563000898845
1.2650000000000001,2.6600787373494192
1.266,2.246063906685562
1.283,2.4320653002271864
1.292,2.709533699245028
1.297,2.310536242215145
1.305,2.702502103344403
1.31,2.4604096150091577
1.312,2.7700179850012114
1.317,3.1308669651530905
1.357,2.9111949235145347
1.367,3.034267902012177
1.371,2.577388319939041
1.377,2.5593993331496985
1.3900000000000001,3.056090117728169
1.397,2.882502237186032
1.4060000000000001,2.303547899362824
1.414,2.821318992624435
1.417,2.3948025340291244
1.424,2.9171931197427767
1.424,2.9171931197427767
1.427,2.221245455698576
1.439,2.504181847872851
1.439,2.504181847872851
1.458,2.8505050378727765
1.46,2.753343919868768
1.477,2.785017475310332
1.478,2.5605464551433887
1.486,2.8787787145394077
1.488,2.5334198611844063
1.5210000000000001,2.631022727830324
1.5250000000000001,3.0474643806975545
1.5330000000000001,2.608943751863651
1.545,2.364917949309036
1.55,2.841399194395727
1.555,2.7418937914490944
1.567,2.6824070377006386
1.569,2.5568184292534952
1.57,3.3049484077696376
1.576,2.9875148873237354
1.584,2.6605711055748014
1.588,2.805860492755307
1.608,3.4788699669929866
1.613,3.1733419264840514
1.615,2.6984295140661554
1.629,2.662864901770191
1.643,3.00762998112402
1.6540000000000001,3.287081831273332
1.6580000000000001,2.7344804007666186
1.6640000000000001,3.0092695063869233
1.669,2.922269138377641
1.671,2.543677836847415
1.678,2.875048288431088
1.683,2.9665321709339647
1.686,3.2048095041923426
1.687,2.8164224067863004
1.693,2.470687226163169
1.7,3.360493557696305
1.704,2.7856147415360306
1.707,2.6017206023234776
1.711,3.004452115274666
1.754,2.8299462964208137
1.7570000000000001,2.7759337905308255
1.7690000000000001,2.997438119626295
1.7730000000000001,3.3660313242890902
1.803,3.0389201994726025
1.815,3.2722688934928787
1.825,3.5288848330356775
1.826,3.452954910442199
1.832,3.053957800028975
1.835,3.5214481857526696
1.848,3.445848208419878
1.864,2.808910431749354
1.8800000000000001,3.8541110960660934
1.8920000000000001,2.9994229156074725
1.905,2.844982554792978
1.9060000000000001,3.1880937190635685
1.958,3.3437096438086598
1.973,3.825900191239655
1.976,3.1464140807217302
1.981,3.1190569198467086
1.983,3.574931338668325
1.986,3.2563983368484406
1.99,3.125361458029838
1.997,3.572761147376694
2.012,3.531712237715693
2.027,3.021509916163088
2.027,3.021509916163088
2.031,2.9194344145163096
2.039,3.2934322244177383
2.059,3.6190265136087953
2.061,3.6696083066148057
2.075,3.6203324654155358
2.076,3.2905390273685065
2.083,3.851985312224759
2.088,3.455213085166905
2.115,3.0330502826434884
2.12,3.204003690832352
2.138,3.432153943561224
2.138,3.432153943561224
2.141,3.8150645370259513
2.153,3.62625339493266
2.1750000000000003,3.7533191129083927
2.188,3.6207226318004446
2.19,3.6384593157632947
2.228,4.048293278453301
2.235,3.95230872486415
2.243,3.5457125605181354
2.265,3.5602105164880755
2.27,3.683159065136245
